step,diagnostic_time,tracer_x_minus_1,tracer_z,tracer_theta,tracer_zeta,tracer_weight,tracer_v_parallel_norm,tracer_energy_error,tracer_momentum_error,ddeni,eradial,efield_rms,entropy_i,dflowi_over_vthi,pfluxi_over_vthi,efluxi_norm,heat_flux_bin_1,heat_flux_bin_2,heat_flux_bin_3,heat_flux_bin_4,heat_flux_bin_5,phi_mode_1_real,phi_mode_1_imag,phi_mode_2_real,phi_mode_2_imag,phi_mode_3_real,phi_mode_3_imag,phi_mode_4_real,phi_mode_4_imag,phi_mode_5_real,phi_mode_5_imag,phi_mode_6_real,phi_mode_6_imag,phi_mode_7_real,phi_mode_7_imag,phi_mode_8_real,phi_mode_8_imag,phi_mode_9_real,phi_mode_9_imag,phi_mode_10_real,phi_mode_10_imag,phi_mode_11_real,phi_mode_11_imag,phi_mode_12_real,phi_mode_12_imag,phi_mode_13_real,phi_mode_13_imag,density_mode_1_real,density_mode_1_imag,density_mode_2_real,density_mode_2_imag,density_mode_3_real,density_mode_3_imag,density_mode_4_real,density_mode_4_imag,density_mode_5_real,density_mode_5_imag,density_mode_6_real,density_mode_6_imag,density_mode_7_real,density_mode_7_imag,density_mode_8_real,density_mode_8_imag,density_mode_9_real,density_mode_9_imag,density_mode_10_real,density_mode_10_imag,density_mode_11_real,density_mode_11_imag,density_mode_12_real,density_mode_12_imag,density_mode_13_real,density_mode_13_imag,phi_mode_1_amp,phi_mode_2_amp,phi_mode_3_amp,phi_mode_4_amp,phi_mode_5_amp,phi_mode_6_amp,phi_mode_7_amp,phi_mode_8_amp,phi_mode_9_amp,phi_mode_10_amp,phi_mode_11_amp,phi_mode_12_amp,phi_mode_13_amp,density_mode_1_amp,density_mode_2_amp,density_mode_3_amp,density_mode_4_amp,density_mode_5_amp,density_mode_6_amp,density_mode_7_amp,density_mode_8_amp,density_mode_9_amp,density_mode_10_amp,density_mode_11_amp,density_mode_12_amp,density_mode_13_amp
5,50.586,0.178925,0.0050387,0.0281536,0.355861,-2.8372e-07,0.423961,0.0,0.0,6.12744e-07,1.72808e-05,1.35894e-05,6.44921e-07,2.12952e-07,-5.21744e-14,6.02964e-12,1.61158e-10,5.30573e-10,-4.8171e-12,9.03448e-10,-7.20477e-11,6.90081e-06,-2.72662e-06,6.79942e-07,-1.86071e-06,-1.36687e-06,2.67982e-06,1.47353e-06,-1.32852e-06,2.76193e-07,-5.72168e-07,-8.34053e-07,-4.96333e-07,-3.19308e-07,4.76418e-07,1.11328e-07,-4.20153e-07,2.32651e-07,9.46283e-08,-2.92933e-07,8.55594e-08,-5.16659e-07,-1.09218e-07,1.49209e-07,1.49292e-07,6.44189e-08,-6.27798e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.419948468857449e-06,1.981050940148688e-06,3.0082833691824977e-06,1.9840000129284273e-06,6.353414778471495e-07,9.705621328374601e-07,5.735256834597733e-07,4.346521218089243e-07,2.511593178878498e-07,3.051723339645322e-07,5.28076787792268e-07,2.110720894505003e-07,6.472408910205226e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,101.172,0.17862,0.011327,0.0633295,0.407958,-2.19728e-07,0.423444,3.57628e-07,-5.73152e-08,5.94365e-07,1.50962e-05,1.45084e-05,6.45012e-07,3.34071e-07,-3.55825e-14,1.63637e-11,5.42884e-10,1.30009e-09,8.26571e-10,1.61733e-09,3.6206e-10,5.94673e-06,-2.5168e-06,7.30266e-07,-1.60098e-06,-1.15995e-06,2.27062e-06,1.29562e-06,-1.15147e-06,1.65477e-07,-5.02716e-07,-7.53942e-07,-5.29007e-07,-2.84855e-07,5.17851e-07,1.85768e-07,-3.26486e-07,2.51788e-07,5.0651e-08,-3.05387e-07,4.89037e-08,-5.1767e-07,-1.13523e-07,1.46261e-07,1.70703e-07,9.22199e-08,-4.32662e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4573895602557544e-06,1.7596662726653597e-06,2.549744925850427e-06,1.7333534969243868e-06,5.29250426721604e-07,9.210195141325725e-07,5.910262508772346e-07,3.756366036743491e-07,2.56832086673375e-07,3.0927785507968396e-07,5.299714147281907e-07,2.2479278086717996e-07,1.0186497935232696e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
